x,y,dx,dy,distance,velocity,hold_time,flight_time,user_id,label,session
1166.0,553.0,-4.0,-6.0,7.211102550927978,903.6469361707224,0.0,0.0,1,1,session_20260913_152555.csv
1160.0,549.0,-6.0,-4.0,7.211102550927978,910.492746327818,0.0,0.0,1,1,session_20260913_152555.csv
1157.0,548.0,-3.0,-1.0,3.1622776601683795,391.2983555405157,0.0,0.0,1,1,session_20260913_152555.csv
1157.0,547.0,0.0,-1.0,1.0,62.66959960368988,0.0,0.0,1,1,session_20260913_152555.csv
1157.0,546.0,0.0,-1.0,1.0,41.59318537194481,0.0,0.0,1,1,session_20260913_152555.csv
1157.0,544.0,0.0,-2.0,2.0,250.9410288689488,0.0,0.0,1,1,session_20260913_152555.csv
1157.0,543.0,0.0,-1.0,1.0,12.444404622328124,0.0,0.0,1,1,session_20260913_152555.csv
1155.0,541.0,-2.0,-2.0,2.8284271247461903,366.6045111967717,0.0,0.0,1,1,session_20260913_152555.csv
1150.0,540.0,-5.0,-1.0,5.0990195135927845,628.7091122955749,0.0,0.0,1,1,session_20260913_152555.csv
1147.0,540.0,-3.0,0.0,3.0,382.0828610501312,0.0,0.0,1,1,session_20260913_152555.csv
1147.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
1146.0,538.0,-1.0,-2.0,2.23606797749979,69.8836758913813,0.0,0.0,1,1,session_20260913_152555.csv
1147.0,537.0,1.0,-1.0,1.4142135623730951,177.72083724505728,0.0,0.0,1,1,session_20260913_152555.csv
1147.0,536.0,0.0,-1.0,1.0,13.891358463733283,0.0,0.0,1,1,session_20260913_152555.csv
1150.0,535.0,3.0,-1.0,3.1622776601683795,197.64729494025576,0.0,0.0,1,1,session_20260913_152555.csv
1157.0,524.0,7.0,-11.0,13.038404810405298,1629.576534526897,0.0,0.0,1,1,session_20260913_152555.csv
1168.0,494.0,11.0,-30.0,31.95309061734092,3996.734204511217,0.0,0.0,1,1,session_20260913_152555.csv
1182.0,441.0,14.0,-53.0,54.81788029466298,6849.752001676626,0.0,0.0,1,1,session_20260913_152555.csv
1205.0,363.0,23.0,-78.0,81.32035415564789,10191.031399526366,0.0,0.0,1,1,session_20260913_152555.csv
1222.0,302.0,17.0,-61.0,63.324560795950255,7864.841869170504,0.0,0.0,1,1,session_20260913_152555.csv
1242.0,238.0,20.0,-64.0,67.05221845696084,8382.365544061206,0.0,0.0,1,1,session_20260913_152555.csv
1256.0,184.0,14.0,-54.0,55.78530272392541,6961.415451665092,0.0,0.0,1,1,session_20260913_152555.csv
1264.0,144.0,8.0,-40.0,40.79215610874228,5120.011561178103,0.0,0.0,1,1,session_20260913_152555.csv
1268.0,118.0,4.0,-26.0,26.30589287593181,3236.6922847054466,0.0,0.0,1,1,session_20260913_152555.csv
1268.0,91.0,0.0,-27.0,27.0,3438.3516288689443,0.0,0.0,1,1,session_20260913_152555.csv
1268.0,70.0,0.0,-21.0,21.0,2527.136633852069,0.0,0.0,1,1,session_20260913_152555.csv
1268.0,55.0,0.0,-15.0,15.0,1936.883425476669,0.0,0.0,1,1,session_20260913_152555.csv
1265.0,38.0,-3.0,-17.0,17.26267650163207,2155.1137315318383,0.0,0.0,1,1,session_20260913_152555.csv
1258.0,23.0,-7.0,-15.0,16.55294535724685,2081.162900020636,0.0,0.0,1,1,session_20260913_152555.csv
1249.0,7.0,-9.0,-16.0,18.35755975068582,2268.465832588979,0.0,0.0,1,1,session_20260913_152555.csv
1239.0,-6.0,-10.0,-13.0,16.401219466856727,2066.347431384973,0.0,0.0,1,1,session_20260913_152555.csv
1231.0,-10.0,-8.0,-4.0,8.94427190999916,1121.8060616220014,0.0,0.0,1,1,session_20260913_152555.csv
1225.0,-6.0,-6.0,4.0,7.211102550927978,902.2223745791464,0.0,0.0,1,1,session_20260913_152555.csv
1222.0,-2.0,-3.0,4.0,5.0,588.1522608289333,0.0,0.0,1,1,session_20260913_152555.csv
1221.0,8.0,-1.0,10.0,10.04987562112089,97.0898350143591,0.0,0.0,1,1,session_20260913_152555.csv
1217.0,25.0,-4.0,17.0,17.46424919657298,2170.550484307998,0.0,0.0,1,1,session_20260913_152555.csv
